Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_24,155980038785,ABCDE1637F,0,16283,No,0,196657,Self-Employed,41,Rent,286183,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_993,748447669498,ABCDE6460F,4,15043,No,0,238957,Unemployed,58,None,243414,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_541,178734831629,ABCDE3621F,3,81310,Yes,0,291365,Unemployed,18,None,315095,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_766,450677881930,ABCDE7877F,2,63368,Yes,1,81728,Employed,40,None,95645,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_185,249668242903,ABCDE5282F,4,90376,Yes,1,50216,Self-Employed,34,None,112106,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_553,366749629090,ABCDE7533F,5,74211,No,1,207551,Employed,53,Own,348283,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_287,291841914566,ABCDE5587F,3,50739,Yes,0,156570,Self-Employed,24,None,147707,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_153,564396549150,ABCDE1492F,3,98169,No,1,107371,Employed,31,None,66989,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_320,182719075067,ABCDE4795F,5,6085,Yes,2,208132,Self-Employed,55,None,221057,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_306,903434162943,ABCDE9820F,0,98268,Yes,2,148696,Unemployed,56,None,69967,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_231,121370691675,ABCDE2650F,4,60472,No,2,197681,Unemployed,71,Rent,125371,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_33,237353978399,ABCDE2684F,5,42183,No,1,109903,Unemployed,36,Rent,77931,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_574,295623063015,ABCDE2173F,5,18236,Yes,1,158087,Self-Employed,65,Rent,315582,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_376,842503591264,ABCDE8512F,5,59016,Yes,0,180846,Employed,65,Rent,165692,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_846,856972396320,ABCDE2846F,0,77087,No,1,242836,Unemployed,62,Rent,165738,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_878,498762204067,ABCDE6666F,5,90716,No,1,279435,Self-Employed,73,Own,338238,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_217,282216178479,ABCDE4199F,1,90019,Yes,2,246906,Unemployed,25,Own,216696,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_840,475361911271,ABCDE7840F,5,85278,Yes,2,167320,Self-Employed,27,Rent,240145,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_372,252092419922,ABCDE9759F,2,94689,Yes,0,295977,Unemployed,66,Own,199464,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_511,768801279271,ABCDE3807F,3,7017,No,2,83948,Unemployed,40,Own,26890,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_731,278151056753,ABCDE8416F,1,69687,No,0,134428,Employed,23,Own,63435,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_132,166709557400,ABCDE2074F,2,22046,Yes,0,177926,Employed,74,None,252587,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_300,958752451280,ABCDE6201F,3,45209,Yes,2,169176,Unemployed,37,None,106380,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_922,212641759243,ABCDE7538F,0,6495,Yes,1,220852,Self-Employed,24,Rent,250953,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_533,725274786355,ABCDE8742F,5,39431,Yes,2,240146,Employed,50,Rent,104620,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_628,581169488796,ABCDE6593F,5,85387,No,2,135547,Employed,42,Own,131430,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_258,694295901027,ABCDE7014F,4,37778,No,1,173094,Self-Employed,66,Own,113952,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_99,352668553292,ABCDE5195F,3,59784,No,0,189525,Unemployed,27,Rent,376586,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_794,593380900253,ABCDE7424F,5,13476,No,1,205697,Self-Employed,21,Rent,357450,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_968,726866554046,ABCDE5394F,4,82000,No,1,154639,Employed,24,Own,264827,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_969,159092944361,ABCDE7863F,4,70265,No,2,109620,Self-Employed,36,Rent,51448,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_721,894468037983,ABCDE9846F,2,99253,Yes,2,93318,Self-Employed,38,None,20694,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_649,780848327732,ABCDE3099F,3,14878,Yes,2,292087,Employed,30,Own,231703,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_935,430296911108,ABCDE6705F,0,32238,No,2,97216,Self-Employed,42,Rent,80064,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_862,222564917039,ABCDE4734F,4,8578,Yes,1,271632,Employed,27,Rent,372404,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_960,512436096825,ABCDE2163F,3,82340,Yes,0,82283,Employed,56,Rent,121318,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_222,777167401594,ABCDE7225F,4,57551,No,2,130975,Self-Employed,70,Rent,108803,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_822,999468224138,ABCDE8250F,2,60369,No,0,27395,Self-Employed,72,None,121292,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_774,137248035089,ABCDE4056F,2,34053,Yes,0,288837,Unemployed,51,Own,263709,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_585,210072639420,ABCDE6455F,3,65429,Yes,0,132098,Self-Employed,50,Rent,132867,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_53,552001230132,ABCDE6087F,0,84214,No,0,137593,Employed,63,Own,102090,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_923,371978435163,ABCDE7139F,3,13893,No,2,120601,Self-Employed,23,Own,89382,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_601,890979152803,ABCDE9319F,3,91507,Yes,1,291060,Self-Employed,33,None,212333,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_339,874883820999,ABCDE7778F,0,57255,Yes,0,179172,Self-Employed,50,Own,258810,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_183,325193396954,ABCDE3979F,1,41414,Yes,0,269765,Self-Employed,33,None,271901,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_828,401506528021,ABCDE7390F,0,99870,Yes,0,167634,Employed,58,None,359531,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_997,591639610413,ABCDE6284F,1,94521,No,2,201291,Unemployed,71,Own,118167,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_714,180841900549,ABCDE2144F,5,46705,Yes,2,41377,Employed,25,None,83333,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_650,719389247139,ABCDE5625F,0,60098,Yes,1,45199,Employed,51,None,77441,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_169,772353957121,ABCDE8741F,5,25139,No,0,292034,Self-Employed,27,None,167642,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_202,885257436294,ABCDE9701F,5,42359,No,2,281568,Employed,19,Own,390731,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_321,576885951785,ABCDE4613F,5,75603,No,2,167510,Self-Employed,45,Own,194323,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_871,544526266736,ABCDE1056F,0,79174,Yes,1,211764,Unemployed,37,None,230795,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_573,220709243143,ABCDE5497F,0,84706,No,1,264959,Employed,59,Rent,342984,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_823,645834079430,ABCDE1938F,4,15832,No,1,291591,Unemployed,26,Rent,115502,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_266,991680998369,ABCDE4128F,0,83987,No,1,267485,Employed,73,Own,308265,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_616,134975956727,ABCDE4520F,1,50731,No,1,271728,Employed,56,Own,200450,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_135,751554288080,ABCDE7984F,5,60757,No,0,193233,Employed,65,None,335931,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_491,587313940347,ABCDE3172F,2,38373,No,0,225995,Employed,29,None,201373,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_51,360864328252,ABCDE7124F,0,52626,No,2,142338,Unemployed,25,None,131342,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_959,853455928959,ABCDE3938F,3,47882,No,2,71853,Employed,32,None,31809,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_621,883203146390,ABCDE3031F,3,11510,No,0,72557,Unemployed,21,Own,24251,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_439,648423578735,ABCDE8340F,5,40396,No,1,181359,Self-Employed,58,Rent,206903,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_803,879624052240,ABCDE3108F,5,76646,Yes,2,239357,Unemployed,41,Own,375335,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_8,329554916300,ABCDE4635F,2,35901,No,0,228710,Unemployed,36,Rent,293535,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_894,155465903664,ABCDE6618F,3,14625,Yes,2,166388,Self-Employed,19,Rent,354622,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_730,234148013148,ABCDE2660F,0,35524,Yes,2,146316,Unemployed,53,Own,117664,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_952,830553875603,ABCDE1153F,2,32950,No,2,192458,Self-Employed,63,Own,236540,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_45,922397769680,ABCDE1784F,2,16368,Yes,2,279029,Employed,39,Own,302907,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_300,869806994733,ABCDE8468F,1,84177,Yes,0,225459,Employed,73,Rent,359524,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_325,854155177166,ABCDE3743F,0,96765,No,2,106035,Unemployed,24,Rent,34470,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_576,360791698115,ABCDE2730F,1,37087,Yes,0,165303,Unemployed,75,Own,217673,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_123,548572197916,ABCDE9479F,3,55036,No,0,227120,Employed,55,Rent,112726,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_306,253842066990,ABCDE3561F,3,92678,No,0,241174,Unemployed,34,Rent,267975,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_533,437428589046,ABCDE4613F,5,94386,No,1,142376,Unemployed,42,Rent,123855,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_737,668627394171,ABCDE6943F,3,7912,Yes,2,114316,Employed,70,Rent,85806,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_963,372789167678,ABCDE3012F,2,12887,No,1,269468,Employed,51,Rent,172591,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_721,542727607108,ABCDE9746F,5,80969,No,2,235030,Unemployed,71,None,146765,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
