Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_513,862521010470,ABCDE5576F,1,72774,No,2,41829,Employed,51,Own,138343,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_648,692929656895,ABCDE1423F,0,12036,No,0,185262,Self-Employed,69,Rent,394584,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_74,708230017461,ABCDE7305F,2,30654,No,0,252521,Unemployed,27,Own,345614,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_483,128087593540,ABCDE2752F,3,32928,Yes,2,117649,Employed,21,Own,28416,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_532,727078227868,ABCDE1853F,0,41072,Yes,1,136734,Employed,41,Rent,43050,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_43,220619910886,ABCDE1729F,3,29835,Yes,1,35821,Self-Employed,54,Own,147759,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_230,169880262876,ABCDE4354F,0,18498,Yes,1,204873,Employed,40,None,300116,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_287,134484938679,ABCDE5369F,4,73501,Yes,0,29658,Employed,72,Rent,55903,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_826,156263244231,ABCDE1418F,0,79461,Yes,0,238359,Self-Employed,65,Own,189215,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_705,841919944821,ABCDE6557F,1,83424,Yes,0,176596,Employed,54,Rent,331861,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_672,536239587704,ABCDE8016F,0,24941,Yes,2,51105,Self-Employed,65,None,120764,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_876,736990852915,ABCDE3021F,1,46742,Yes,0,161170,Employed,50,Own,193796,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_670,927412206124,ABCDE9501F,5,24130,Yes,2,210391,Unemployed,63,None,216861,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_761,958170000264,ABCDE5142F,0,96710,Yes,0,40488,Employed,43,None,149361,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_224,332121134933,ABCDE6743F,3,13513,Yes,1,189303,Employed,48,None,183168,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
