Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_24,1.5598E+11,ABCDE1637F,0,16283,No,0,196657,Self-Employed,41,Rent,286183,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_993,7.48448E+11,ABCDE6460F,4,15043,No,0,238957,Unemployed,58,,243414,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_541,1.78735E+11,ABCDE3621F,3,81310,Yes,0,291365,Unemployed,18,,315095,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_766,4.50678E+11,ABCDE7877F,2,63368,Yes,1,81728,Employed,40,,95645,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_185,2.49668E+11,ABCDE5282F,4,90376,Yes,1,50216,Self-Employed,34,,112106,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_553,3.6675E+11,ABCDE7533F,5,74211,No,1,207551,Employed,53,Own,348283,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_287,2.91842E+11,ABCDE5587F,3,50739,Yes,0,156570,Self-Employed,24,,147707,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_153,5.64397E+11,ABCDE1492F,3,98169,No,1,107371,Employed,31,,66989,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_320,1.82719E+11,ABCDE4795F,5,6085,Yes,2,208132,Self-Employed,55,,221057,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_306,9.03434E+11,ABCDE9820F,0,98268,Yes,2,148696,Unemployed,56,,69967,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_231,1.21371E+11,ABCDE2650F,4,60472,No,2,197681,Unemployed,71,Rent,125371,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_33,2.37354E+11,ABCDE2684F,5,42183,No,1,109903,Unemployed,36,Rent,77931,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_574,2.95623E+11,ABCDE2173F,5,18236,Yes,1,158087,Self-Employed,65,Rent,315582,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_376,8.42504E+11,ABCDE8512F,5,59016,Yes,0,180846,Employed,65,Rent,165692,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_846,8.56972E+11,ABCDE2846F,0,77087,No,1,242836,Unemployed,62,Rent,165738,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_878,4.98762E+11,ABCDE6666F,5,90716,No,1,279435,Self-Employed,73,Own,338238,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_217,2.82216E+11,ABCDE4199F,1,90019,Yes,2,246906,Unemployed,25,Own,216696,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_840,4.75362E+11,ABCDE7840F,5,85278,Yes,2,167320,Self-Employed,27,Rent,240145,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_372,2.52092E+11,ABCDE9759F,2,94689,Yes,0,295977,Unemployed,66,Own,199464,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_511,7.68801E+11,ABCDE3807F,3,7017,No,2,83948,Unemployed,40,Own,26890,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_731,2.78151E+11,ABCDE8416F,1,69687,No,0,134428,Employed,23,Own,63435,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_132,1.6671E+11,ABCDE2074F,2,22046,Yes,0,177926,Employed,74,,252587,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_300,9.58752E+11,ABCDE6201F,3,45209,Yes,2,169176,Unemployed,37,,106380,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_922,2.12642E+11,ABCDE7538F,0,6495,Yes,1,220852,Self-Employed,24,Rent,250953,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_533,7.25275E+11,ABCDE8742F,5,39431,Yes,2,240146,Employed,50,Rent,104620,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_628,5.81169E+11,ABCDE6593F,5,85387,No,2,135547,Employed,42,Own,131430,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_258,6.94296E+11,ABCDE7014F,4,37778,No,1,173094,Self-Employed,66,Own,113952,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_99,3.52669E+11,ABCDE5195F,3,59784,No,0,189525,Unemployed,27,Rent,376586,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_794,5.93381E+11,ABCDE7424F,5,13476,No,1,205697,Self-Employed,21,Rent,357450,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_968,7.26867E+11,ABCDE5394F,4,82000,No,1,154639,Employed,24,Own,264827,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_969,1.59093E+11,ABCDE7863F,4,70265,No,2,109620,Self-Employed,36,Rent,51448,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_721,8.94468E+11,ABCDE9846F,2,99253,Yes,2,93318,Self-Employed,38,,20694,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_649,7.80848E+11,ABCDE3099F,3,14878,Yes,2,292087,Employed,30,Own,231703,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_935,4.30297E+11,ABCDE6705F,0,32238,No,2,97216,Self-Employed,42,Rent,80064,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_862,2.22565E+11,ABCDE4734F,4,8578,Yes,1,271632,Employed,27,Rent,372404,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_960,5.12436E+11,ABCDE2163F,3,82340,Yes,0,82283,Employed,56,Rent,121318,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_222,7.77167E+11,ABCDE7225F,4,57551,No,2,130975,Self-Employed,70,Rent,108803,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_822,9.99468E+11,ABCDE8250F,2,60369,No,0,27395,Self-Employed,72,,121292,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_774,1.37248E+11,ABCDE4056F,2,34053,Yes,0,288837,Unemployed,51,Own,263709,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_585,2.10073E+11,ABCDE6455F,3,65429,Yes,0,132098,Self-Employed,50,Rent,132867,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_53,5.52001E+11,ABCDE6087F,0,84214,No,0,137593,Employed,63,Own,102090,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_923,3.71978E+11,ABCDE7139F,3,13893,No,2,120601,Self-Employed,23,Own,89382,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_601,8.90979E+11,ABCDE9319F,3,91507,Yes,1,291060,Self-Employed,33,,212333,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_339,8.74884E+11,ABCDE7778F,0,57255,Yes,0,179172,Self-Employed,50,Own,258810,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_183,3.25193E+11,ABCDE3979F,1,41414,Yes,0,269765,Self-Employed,33,,271901,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_828,4.01507E+11,ABCDE7390F,0,99870,Yes,0,167634,Employed,58,,359531,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_997,5.9164E+11,ABCDE6284F,1,94521,No,2,201291,Unemployed,71,Own,118167,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_714,1.80842E+11,ABCDE2144F,5,46705,Yes,2,41377,Employed,25,,83333,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_650,7.19389E+11,ABCDE5625F,0,60098,Yes,1,45199,Employed,51,,77441,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_169,7.72354E+11,ABCDE8741F,5,25139,No,0,292034,Self-Employed,27,,167642,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_202,8.85257E+11,ABCDE9701F,5,42359,No,2,281568,Employed,19,Own,390731,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_321,5.76886E+11,ABCDE4613F,5,75603,No,2,167510,Self-Employed,45,Own,194323,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_871,5.44526E+11,ABCDE1056F,0,79174,Yes,1,211764,Unemployed,37,,230795,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_573,2.20709E+11,ABCDE5497F,0,84706,No,1,264959,Employed,59,Rent,342984,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_823,6.45834E+11,ABCDE1938F,4,15832,No,1,291591,Unemployed,26,Rent,115502,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_266,9.91681E+11,ABCDE4128F,0,83987,No,1,267485,Employed,73,Own,308265,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
