Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,ELIGIBILITY CRITERIA
Person_784,1378336436,ABCDE5824F,5,56783,No,1,71577,Employed,31,Own,218260,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_448,8840820775,ABCDE1060F,4,15696,No,1,370473,Unemployed,60,Own,394263,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_886,3580123676,ABCDE6026F,3,40690,No,0,980095,Self-Employed,57,Own,59752,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_95,3813722227,ABCDE6259F,5,65376,No,0,296523,Self-Employed,65,,16861,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,NO
Person_628,5844654146,ABCDE8565F,4,61366,Yes,1,299833,Employed,54,,369012,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_757,1388386927,ABCDE3331F,1,48634,No,2,119602,Employed,71,Rent,19994,Ministry Of Agriculture and Farmers Welfare,RKVY,NO
Person_536,8012789607,ABCDE7603F,4,89026,Yes,0,225834,Unemployed,28,,82616,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,NO
Person_962,8436591944,ABCDE2546F,3,90186,No,1,510316,Self-Employed,30,Own,58295,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_397,8860831239,ABCDE1373F,0,66771,Yes,2,951831,Self-Employed,35,,71265,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_455,5915964793,ABCDE1181F,2,8878,No,0,845174,Employed,46,Own,342414,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_21,9630565811,ABCDE7369F,0,8672,No,1,469542,Employed,63,Own,345911,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,YES
Person_850,6223943725,ABCDE8000F,4,32188,Yes,0,396709,Self-Employed,27,Rent,294363,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,NO
Person_186,4897551165,ABCDE7498F,5,98197,Yes,2,483789,Self-Employed,21,Rent,337748,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_351,8137881183,ABCDE2741F,4,22570,Yes,1,644589,Self-Employed,72,Own,465992,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_778,4481652434,ABCDE9481F,1,39326,No,2,448846,Unemployed,54,Own,160379,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,YES
Person_912,9201634793,ABCDE3749F,2,8093,Yes,1,805775,Self-Employed,63,,172941,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_535,3594749434,ABCDE4534F,5,51317,Yes,0,588253,Self-Employed,54,,349417,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_591,5346116305,ABCDE4108F,4,30040,Yes,0,469512,Employed,18,,321384,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
Person_816,1769257749,ABCDE1591F,5,24017,Yes,1,544115,Unemployed,25,Own,288176,Ministry Of Agriculture and Farmers Welfare,RKVY,YES
Person_129,7231710474,ABCDE3333F,4,17630,Yes,0,613241,Self-Employed,71,,75522,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,YES
