Name,Age,AADHAR_No,PAN_No,Gender,Account_No,Caste,PIN_Code,Annual_Income,Govt_Schemes_Availed,Scheme_Under_Ministry,Eligible_for_PM_KISAN
Gavin Bali,28,847-29-9207,LRBmZ94536,Male,023713319589,General,306867,616971,PDS,Ministry of Consumer Affairs,No
Saanvi Kothari,27,544-03-2487,EJTyu53437,Male,199746506838,General,288769,713415,Scholarship,Ministry of Education,No
Sneha Mani,50,616-31-5457,FFseb39795,Male,216931099138,ST,380614,870881,PDS,Ministry of Consumer Affairs,No
Chandran Khosla,20,520-02-5408,pPpzK81745,Female,320342030227,OBC,515363,197286,PMAY,Ministry of Housing and Urban Affairs,No
Ekiya Oak,55,694-36-7407,bkeCO45913,Male,214811061335,General,021392,935547,PDS,Ministry of Consumer Affairs,No
Krishna Bose,31,994-41-4190,Ltoox67689,Male,713621318548,OBC,102454,181037,MNREGA,Ministry of Rural Development,No
Liam Magar,47,780-77-2683,JptbE74070,Male,260122424069,General,384189,383118,Ayushman Bharat,Ministry of Health and Family Welfare,No
Upadhriti Mittal,70,729-03-6576,bUBov26698,Male,496366507311,OBC,653000,980208,MNREGA,Ministry of Rural Development,No
Aashi Patla,54,312-49-4098,DtYmC11932,Male,634789215310,OBC,768811,653465,PMAY,Ministry of Housing and Urban Affairs,No
Dalaja Pillai,63,949-44-7906,XyjoY84513,Male,379580729255,General,599974,125841,Ayushman Bharat,Ministry of Health and Family Welfare,Yes
Bhavna Badami,62,308-30-4787,xYhTk03951,Male,332693975141,General,277244,46929,MNREGA,Ministry of Rural Development,Yes
Bimala Sastry,72,226-22-5955,xWPCN89774,Male,304150433562,OBC,909124,489043,MNREGA,Ministry of Rural Development,No
Vincent Bhardwaj,79,605-37-6231,xARfv40679,Male,003361119043,General,665353,944500,Ayushman Bharat,Ministry of Health and Family Welfare,No
Laban Balasubramanian,26,632-86-9509,izZCx04823,Male,659683144065,SC,132694,259108,MNREGA,Ministry of Rural Development,No
Harish Modi,44,333-98-3622,UBnbc11721,Male,953747802757,General,036195,62035,Scholarship,Ministry of Education,Yes
