Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_97,955042648774,ABCDE8020F,3,88665,Yes,2,297294,Unemployed,22,Rent,125775,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_503,601644999585,ABCDE1714F,1,68795,No,0,224131,Employed,23,Own,366078,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_193,616579185951,ABCDE8869F,1,58642,No,2,276216,Self-Employed,54,Rent,152154,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_422,803068214368,ABCDE6600F,5,87201,Yes,1,279763,Employed,48,Own,115763,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_617,496073033415,ABCDE3275F,0,63331,Yes,1,274860,Employed,40,None,103705,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_10,967690152767,ABCDE8475F,4,35236,Yes,2,109485,Unemployed,48,None,34235,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_306,474453179066,ABCDE7876F,3,52803,No,0,156837,Employed,71,Rent,358533,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_583,366957790864,ABCDE6079F,1,41189,Yes,2,96253,Unemployed,69,None,51421,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_95,802922694711,ABCDE1276F,2,70489,No,0,52803,Self-Employed,25,Own,51401,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_108,414580657649,ABCDE6319F,3,14054,No,0,248709,Employed,48,Own,109904,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_781,572585773830,ABCDE5268F,1,78047,No,1,53703,Employed,28,Rent,71958,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_662,326232906159,ABCDE7228F,2,19495,Yes,0,120095,Employed,58,Rent,38716,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_685,874100267949,ABCDE1748F,0,12241,No,0,76159,Self-Employed,70,Rent,55829,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_937,697151146677,ABCDE8079F,3,73484,No,2,241083,Self-Employed,35,None,236707,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_179,242276761156,ABCDE7365F,2,62199,No,0,87015,Employed,42,Own,31347,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_4,233375370217,ABCDE9972F,5,61617,No,0,154586,Unemployed,19,Rent,356545,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_407,549671125200,ABCDE7050F,4,79333,Yes,1,290372,Employed,61,Own,241536,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_191,364848375853,ABCDE9967F,2,84159,No,2,166327,Employed,63,None,338162,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_642,997292931772,ABCDE2749F,2,76545,No,2,30134,Self-Employed,60,None,120289,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_236,375166193019,ABCDE3483F,5,52413,No,0,97816,Employed,35,Rent,73437,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_454,456307629311,ABCDE5958F,2,29510,No,1,81626,Employed,40,Rent,20000,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_683,960663122521,ABCDE9183F,2,78798,No,1,292530,Employed,59,Rent,111973,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_409,966103253586,ABCDE6643F,0,58621,No,1,289108,Employed,55,Own,248741,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_369,982695637676,ABCDE7047F,4,74417,No,2,208685,Employed,19,None,174379,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_189,974708981491,ABCDE4830F,2,27587,No,1,101828,Unemployed,60,Rent,146643,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_584,560617784793,ABCDE6184F,1,5326,No,0,85600,Employed,29,Own,27959,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_495,921282475380,ABCDE8235F,3,82100,Yes,1,84748,Employed,43,Rent,100067,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_908,139670102894,ABCDE4769F,4,14915,Yes,2,291568,Unemployed,46,Rent,273644,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_976,477240776690,ABCDE5802F,5,36808,No,0,284115,Employed,68,Rent,130386,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_771,896611657759,ABCDE7134F,1,83570,Yes,0,222228,Unemployed,21,None,344885,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_386,148052099410,ABCDE1294F,0,27844,Yes,2,197170,Employed,58,Own,268208,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_575,233116246034,ABCDE3783F,1,10305,Yes,1,259643,Employed,41,Own,356972,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_458,823862752111,ABCDE7159F,1,23630,No,1,97013,Employed,62,None,128350,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_668,730686246958,ABCDE8391F,5,75696,No,0,163631,Employed,66,None,310919,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_964,614677282253,ABCDE4266F,1,31450,No,0,72430,Employed,54,Own,106407,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_112,973471766616,ABCDE5004F,1,76406,Yes,2,210162,Employed,29,Own,196921,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_82,344099870257,ABCDE8698F,0,79450,Yes,1,26883,Unemployed,31,Own,39576,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_940,696683657969,ABCDE8608F,2,6131,Yes,0,139423,Employed,40,None,111616,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_159,616296716726,ABCDE1935F,5,97394,Yes,2,193226,Unemployed,26,Rent,380839,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
