Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_898,235096363004,ABCDE8451F,2,47546,No,1,182892,Employed,60,No Property,315191,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_320,839362157209,ABCDE9178F,5,57023,No,2,130150,Employed,38,No Property,115833,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_558,934013698658,ABCDE7880F,5,32202,Yes,0,185640,Employed,70,Own,182521,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_492,262513786205,ABCDE1309F,1,81951,No,2,254240,Self-Employed,39,Rent,338426,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_274,838718309135,ABCDE8905F,4,8590,No,0,27869,Employed,68,No Property,95035,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_389,974833253883,ABCDE4254F,3,58528,No,0,114021,Employed,43,No Property,120163,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_335,666985596541,ABCDE5637F,3,23555,No,2,30941,Employed,75,Rent,124829,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_315,556130342064,ABCDE6255F,4,86688,Yes,1,110509,Unemployed,43,Own,76758,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_584,426696599560,ABCDE1930F,2,38100,No,1,291814,Employed,65,No Property,230997,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_649,288226202115,ABCDE5224F,4,97718,No,1,83528,Self-Employed,63,Rent,78594,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_264,979400683907,ABCDE1455F,2,6117,Yes,2,293351,Employed,64,Own,361376,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_77,107563657344,ABCDE9030F,4,51083,Yes,0,160902,Unemployed,29,Rent,123626,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_509,307488757110,ABCDE8025F,0,40488,No,0,86745,Employed,34,No Property,41844,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_766,789690091556,ABCDE8099F,3,99223,No,1,62142,Employed,58,Rent,21464,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_914,139036379380,ABCDE7133F,1,73501,No,0,164616,Employed,67,Rent,220944,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_91,283509407941,ABCDE2546F,4,77217,No,2,110384,Unemployed,61,No Property,24475,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced
Person_756,951294396063,ABCDE2882F,4,89339,No,0,262700,Employed,48,Own,318335,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_445,501081144528,ABCDE3882F,5,86869,No,0,266437,Employed,20,Rent,111243,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_756,580838095656,ABCDE4760F,5,42039,No,0,39847,Self-Employed,32,Own,33156,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_340,604110507259,ABCDE6529F,0,73364,Yes,1,92257,Self-Employed,39,No Property,84218,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_172,408687579414,ABCDE6076F,4,20507,Yes,2,263915,Self-Employed,44,Own,254808,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_520,984023081528,ABCDE9304F,5,49427,No,2,256093,Self-Employed,75,Rent,167750,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_300,175571427923,ABCDE5191F,1,98348,No,0,206256,Employed,61,No Property,309495,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_746,146566183406,ABCDE7228F,0,27771,Yes,2,293759,Unemployed,34,No Property,329712,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_568,491150139772,ABCDE7209F,2,61964,Yes,0,153275,Employed,48,No Property,329407,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_278,123409830973,ABCDE1516F,2,8751,Yes,1,220091,Unemployed,61,Rent,347819,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_988,791972424863,ABCDE3758F,1,60653,Yes,2,90181,Employed,20,Rent,41660,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_713,574894558478,ABCDE6352F,1,74025,Yes,2,94251,Self-Employed,25,Rent,90872,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_622,562171098885,ABCDE3738F,0,85517,Yes,1,66701,Employed,73,Rent,45070,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_874,280261182885,ABCDE5027F,3,67969,No,0,137954,Self-Employed,24,Rent,95711,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_296,830923605513,ABCDE1922F,2,57943,No,0,86740,Employed,28,Rent,31844,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_884,540070999243,ABCDE1676F,4,59950,Yes,2,78901,Employed,27,Rent,71789,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_434,766936438828,ABCDE8169F,2,63659,Yes,0,185142,Employed,41,Rent,303280,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_361,483070613794,ABCDE9891F,3,67622,No,1,193005,Employed,33,Own,277484,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_132,888031983408,ABCDE8218F,4,32793,No,2,283315,Employed,35,Own,154421,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_382,561380437961,ABCDE2968F,3,65982,No,2,240740,Employed,33,Rent,204790,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_598,563157201677,ABCDE3661F,3,19834,Yes,2,42050,Employed,44,Rent,51623,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_572,304730377046,ABCDE5985F,2,16497,Yes,1,89325,Self-Employed,44,No Property,65425,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed
Person_892,295204137816,ABCDE4211F,4,89817,Yes,2,188092,Unemployed,65,Own,210934,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_535,173251815049,ABCDE9700F,1,13020,Yes,0,253022,Self-Employed,71,Rent,367480,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_572,282036559254,ABCDE1939F,5,46544,Yes,0,184347,Employed,51,Rent,322913,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
