Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_97,9.55043E+11,ABCDE8020F,3,88665,Yes,2,297294,Unemployed,22,Rent,125775,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_503,6.01645E+11,ABCDE1714F,1,68795,No,0,224131,Employed,23,Own,366078,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_193,6.16579E+11,ABCDE8869F,1,58642,No,2,276216,Self-Employed,54,Rent,152154,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_422,8.03068E+11,ABCDE6600F,5,87201,Yes,1,279763,Employed,48,Own,115763,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_617,4.96073E+11,ABCDE3275F,0,63331,Yes,1,274860,Employed,40,,103705,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_10,9.6769E+11,ABCDE8475F,4,35236,Yes,2,109485,Unemployed,48,,34235,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_306,4.74453E+11,ABCDE7876F,3,52803,No,0,156837,Employed,71,Rent,358533,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_583,3.66958E+11,ABCDE6079F,1,41189,Yes,2,96253,Unemployed,69,,51421,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_95,8.02923E+11,ABCDE1276F,2,70489,No,0,52803,Self-Employed,25,Own,51401,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_108,4.14581E+11,ABCDE6319F,3,14054,No,0,248709,Employed,48,Own,109904,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_781,5.72586E+11,ABCDE5268F,1,78047,No,1,53703,Employed,28,Rent,71958,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_662,3.26233E+11,ABCDE7228F,2,19495,Yes,0,120095,Employed,58,Rent,38716,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_685,8.741E+11,ABCDE1748F,0,12241,No,0,76159,Self-Employed,70,Rent,55829,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_937,6.97151E+11,ABCDE8079F,3,73484,No,2,241083,Self-Employed,35,,236707,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_179,2.42277E+11,ABCDE7365F,2,62199,No,0,87015,Employed,42,Own,31347,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_4,2.33375E+11,ABCDE9972F,5,61617,No,0,154586,Unemployed,19,Rent,356545,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_407,5.49671E+11,ABCDE7050F,4,79333,Yes,1,290372,Employed,61,Own,241536,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,NO
Person_191,3.64848E+11,ABCDE9967F,2,84159,No,2,166327,Employed,63,,338162,Ministry Of Agriculture and Farmers Welfare,RKVY,Divorced,YES
Person_642,9.97293E+11,ABCDE2749F,2,76545,No,2,30134,Self-Employed,60,,120289,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_236,3.75166E+11,ABCDE3483F,5,52413,No,0,97816,Employed,35,Rent,73437,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_454,4.56308E+11,ABCDE5958F,2,29510,No,1,81626,Employed,40,Rent,20000,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_683,9.60663E+11,ABCDE9183F,2,78798,No,1,292530,Employed,59,Rent,111973,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_409,9.66103E+11,ABCDE6643F,0,58621,No,1,289108,Employed,55,Own,248741,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
