Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
8095749091,ABCDE5729F,0,31519,Yes,1,72855,Employed,32,Own,85191,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
6845668499,ABCDE6090F,2,16090,No,0,41044,Employed,45,Own,41474,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
7164596241,ABCDE9789F,0,51927,Yes,0,84131,Unemployed,29,Own,76292,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
4337790276,ABCDE9285F,4,71325,Yes,0,29210,Unemployed,37,No Property,45654,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
2512514669,ABCDE5427F,0,82700,No,0,165862,Employed,45,No Property,170234,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
8352953763,ABCDE1006F,1,26726,No,0,181811,Unemployed,56,No Property,215100,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
5680189692,ABCDE2808F,3,60140,Yes,1,283007,Self-Employed,44,Rent,384972,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
6774910747,ABCDE1416F,0,83091,No,2,102731,Employed,75,Own,33363,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
1525152265,ABCDE9245F,1,35612,No,2,56923,Employed,36,Rent,131522,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,YES
9222704231,ABCDE3172F,2,94275,No,0,235619,Employed,41,Rent,302664,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
6320244258,ABCDE4369F,3,9877,Yes,2,45001,Self-Employed,64,Own,120942,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
7475609949,ABCDE5637F,3,23555,No,2,30941,Employed,75,Rent,124829,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
3819210199,ABCDE3065F,3,17420,Yes,1,207926,Employed,63,Own,280732,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
5675926609,ABCDE8433F,1,40030,No,1,270582,Employed,58,Rent,236006,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
6603717665,ABCDE3573F,5,64702,Yes,1,296106,Employed,28,No Property,352277,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
