Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_73,455814593444,ABCDE6525F,0,43107,No,0,204020,Employed,62,Rent,141415,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_153,598050694837,ABCDE7736F,1,83283,No,0,58424,Employed,44,No Property,135830,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_398,938456952274,ABCDE8854F,0,89390,Yes,1,46124,Employed,20,Own,25654,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
Person_599,772997155637,ABCDE5105F,4,36974,Yes,0,296377,Self-Employed,51,No Property,235033,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_122,513410443368,ABCDE2207F,5,10835,No,2,236565,Unemployed,52,Own,292183,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Widowed,NO
Person_518,513082529190,ABCDE5188F,0,46394,No,0,87106,Employed,59,Rent,121820,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_482,737978281249,ABCDE8471F,4,78793,Yes,2,240313,Employed,29,Own,136580,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_735,908185216921,ABCDE7852F,2,90781,Yes,1,201098,Self-Employed,27,Rent,397905,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_965,371995241823,ABCDE9637F,0,37524,Yes,2,98218,Employed,50,Rent,39533,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
Person_594,260331622077,ABCDE3553F,1,32796,No,1,212989,Self-Employed,53,Own,365487,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_710,103523870474,ABCDE7473F,3,57809,No,0,144473,Unemployed,50,No Property,129964,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_98,362884403204,ABCDE3756F,5,94226,No,0,76056,Employed,29,Own,58579,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_642,574359671806,ABCDE7586F,2,43113,Yes,2,128447,Employed,26,Own,130423,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_753,195770325266,ABCDE2525F,0,60439,No,1,145634,Employed,49,Rent,118905,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_188,812749721521,ABCDE6045F,1,48817,No,0,239562,Employed,28,Rent,181725,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_631,765658394958,ABCDE6867F,2,54565,No,1,137499,Employed,56,Rent,46577,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
Person_749,901966063725,ABCDE4868F,5,94598,No,0,103076,Employed,55,No Property,39322,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_51,895977147596,ABCDE1454F,0,85072,No,1,99152,Employed,49,Own,106747,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
