Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme
Person_803,2.45578E+11,ABCDE6897F,5,13353,Yes,1,201761,Employed,26,Own,348012,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_528,7.99368E+11,ABCDE5207F,3,81694,Yes,1,855011,Employed,68,None,322040,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_174,3.44601E+11,ABCDE5497F,2,62039,No,0,836118,Employed,55,Rent,296425,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_693,4.81797E+11,ABCDE3440F,2,15496,No,1,699148,Employed,52,Own,170701,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_39,2.3043E+11,ABCDE9856F,1,55451,Yes,2,850525,Unemployed,26,Rent,232997,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_15,7.64503E+11,ABCDE1840F,2,7614,No,1,397163,Self-Employed,37,Own,208895,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_59,3.19224E+11,ABCDE2423F,4,94794,Yes,2,688453,Unemployed,41,Rent,248236,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_435,2.27815E+11,ABCDE6339F,3,7042,Yes,0,536421,Unemployed,35,Own,308371,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_861,7.8299E+11,ABCDE2088F,2,61369,No,0,594150,Unemployed,18,Rent,129826,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy
Person_348,8.83744E+11,ABCDE2909F,2,17238,No,0,116953,Unemployed,31,Own,478374,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_621,5.53897E+11,ABCDE7016F,4,16945,No,0,608997,Employed,75,Own,269598,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_840,8.14114E+11,ABCDE5515F,5,73235,No,2,220375,Employed,54,None,217666,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_131,5.46079E+11,ABCDE6502F,3,53814,Yes,2,224546,Unemployed,71,Rent,314722,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_273,6.376E+11,ABCDE8042F,4,13830,No,0,258991,Self-Employed,24,None,428416,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy
Person_965,6.49199E+11,ABCDE2560F,4,38020,No,2,889283,Self-Employed,54,Rent,350449,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_391,5.71513E+11,ABCDE3276F,0,17333,Yes,1,953573,Employed,69,Own,419219,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_215,3.9188E+11,ABCDE4487F,4,89302,Yes,0,849985,Self-Employed,40,Rent,32899,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy
Person_468,1.78263E+11,ABCDE4675F,3,57657,Yes,0,587909,Self-Employed,43,Own,466540,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_445,9.49039E+11,ABCDE6544F,0,22720,No,2,921757,Unemployed,28,None,306820,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_925,4.60715E+11,ABCDE2406F,2,99498,Yes,1,508736,Self-Employed,65,Own,216981,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_292,7.47164E+11,ABCDE7032F,5,92589,No,1,235137,Self-Employed,25,Rent,212547,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_626,5.57503E+11,ABCDE1817F,4,73936,No,0,224894,Unemployed,35,None,426979,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy
Person_92,9.45325E+11,ABCDE1759F,2,83581,No,2,566181,Employed,70,Rent,330205,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_234,9.97788E+11,ABCDE6346F,5,85137,Yes,0,642820,Unemployed,70,Rent,99293,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_422,4.4222E+11,ABCDE8241F,3,67887,No,1,986922,Employed,56,None,387921,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_926,1.99944E+11,ABCDE6052F,1,49309,No,1,787909,Employed,64,Own,195256,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_486,8.83625E+11,ABCDE7757F,2,13717,Yes,1,257465,Self-Employed,29,Own,275131,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_233,2.2521E+11,ABCDE5480F,3,11309,No,0,754083,Employed,75,None,59445,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_779,4.48385E+11,ABCDE1863F,5,24675,No,0,373079,Unemployed,58,None,60043,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_465,6.57601E+11,ABCDE1725F,3,44582,No,0,920315,Unemployed,19,Own,333868,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_915,5.83297E+11,ABCDE4359F,3,58498,Yes,1,112158,Unemployed,49,Rent,461524,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_137,1.00871E+11,ABCDE5265F,0,36486,No,1,987461,Employed,22,None,193790,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_239,7.40761E+11,ABCDE1961F,2,17023,No,2,334020,Self-Employed,62,Rent,180635,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy
Person_980,4.32296E+11,ABCDE3842F,5,66220,No,1,678946,Employed,61,None,477721,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_33,5.01533E+11,ABCDE3078F,2,52748,No,1,153528,Unemployed,41,None,256556,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_863,6.10211E+11,ABCDE3039F,4,31250,No,2,249575,Employed,42,Own,224329,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_20,6.06469E+11,ABCDE8081F,2,54281,Yes,2,660631,Employed,40,Own,98754,Ministry Of Agriculture and Farmers Welfare,PM-Kisan
Person_198,7.07984E+11,ABCDE8666F,4,13039,No,1,470908,Self-Employed,50,Own,435947,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy
Person_112,4.78253E+11,ABCDE9196F,2,23999,Yes,1,793753,Unemployed,50,Own,387169,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
Person_100,1.92958E+11,ABCDE6701F,4,39089,Yes,2,787977,Employed,45,Own,78988,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy
Person_529,4.72278E+11,ABCDE7429F,2,36993,No,0,247997,Unemployed,66,None,286557,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy
