Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status
Person_43,816262172426,ABCDE4388F,3,31409,Yes,0,199813,Unemployed,67,Rent,313414,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_341,137094684533,ABCDE4135F,1,28997,Yes,2,227883,Self-Employed,75,None,339736,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_252,726829085307,ABCDE4180F,1,69944,Yes,2,240369,Employed,74,Rent,205623,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_190,129059664423,ABCDE3681F,3,11682,No,0,211841,Unemployed,25,Rent,215080,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_858,408548629999,ABCDE1202F,0,85185,No,1,197624,Employed,59,Rent,212803,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_931,339174277462,ABCDE8124F,4,43259,No,1,294229,Employed,75,Rent,240457,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_976,165453125777,ABCDE9246F,1,23707,No,1,232817,Employed,56,Rent,146716,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_516,121490094042,ABCDE7612F,0,7428,Yes,2,132005,Employed,30,None,115765,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_824,396834922710,ABCDE9981F,5,41899,No,2,145275,Employed,49,None,30973,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_55,991280210245,ABCDE7313F,1,15152,No,1,114735,Employed,43,Rent,112407,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_714,562926578578,ABCDE1436F,1,34885,Yes,2,293000,Employed,35,Rent,171979,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_953,846504990286,ABCDE4697F,0,62469,No,2,192427,Employed,65,Own,314483,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_965,697803281444,ABCDE6716F,5,54991,Yes,1,101979,Employed,19,Own,29956,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_277,454216933575,ABCDE8099F,0,18659,Yes,0,157032,Employed,72,None,235661,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_751,928544900993,ABCDE4707F,4,56046,Yes,0,227120,Employed,43,Own,195788,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_508,857465372746,ABCDE5862F,0,37069,No,1,180269,Self-Employed,66,Rent,366655,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_568,962289701886,ABCDE8649F,5,73257,No,2,213324,Employed,70,Rent,169688,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
