Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_43,8.16262E+11,ABCDE4388F,3,31409,Yes,0,199813,Unemployed,67,Rent,313414,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_341,1.37095E+11,ABCDE4135F,1,28997,Yes,2,227883,Self-Employed,75,,339736,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,NO
Person_252,7.26829E+11,ABCDE4180F,1,69944,Yes,2,240369,Employed,74,Rent,205623,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_190,1.2906E+11,ABCDE3681F,3,11682,No,0,211841,Unemployed,25,Rent,215080,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_858,4.08549E+11,ABCDE1202F,0,85185,No,1,197624,Employed,59,Rent,212803,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
Person_931,3.39174E+11,ABCDE8124F,4,43259,No,1,294229,Employed,75,Rent,240457,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_976,1.65453E+11,ABCDE9246F,1,23707,No,1,232817,Employed,56,Rent,146716,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_516,1.2149E+11,ABCDE7612F,0,7428,Yes,2,132005,Employed,30,,115765,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_824,3.96835E+11,ABCDE9981F,5,41899,No,2,145275,Employed,49,,30973,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_55,9.9128E+11,ABCDE7313F,1,15152,No,1,114735,Employed,43,Rent,112407,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_714,5.62927E+11,ABCDE1436F,1,34885,Yes,2,293000,Employed,35,Rent,171979,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_953,8.46505E+11,ABCDE4697F,0,62469,No,2,192427,Employed,65,Own,314483,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,NO
Person_965,6.97803E+11,ABCDE6716F,5,54991,Yes,1,101979,Employed,19,Own,29956,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,YES
