Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,marital_status
Person_289,7467341664,ABCDE2345F,4,87964,Yes,0,589856,Unemployed,19,None,128105,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_492,6600290353,ABCDE4028F,3,74360,No,1,812723,Unemployed,62,Rent,232759,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_356,7830026525,ABCDE2899F,4,93029,No,1,206579,Employed,37,Rent,320757,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_935,5346435548,ABCDE9970F,5,68877,Yes,1,68645,Unemployed,43,None,492734,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_485,5067750398,ABCDE8882F,2,14182,No,0,452911,Self-Employed,38,None,205723,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_606,4155045346,ABCDE5537F,2,37174,Yes,2,112898,Employed,57,Own,373975,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_460,2838202736,ABCDE3733F,4,13444,Yes,2,986236,Unemployed,26,Own,487389,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_281,8123477252,ABCDE8429F,1,29114,No,0,797030,Self-Employed,31,None,225011,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_152,7042040684,ABCDE2956F,4,89790,Yes,2,731973,Unemployed,18,Own,182276,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed
Person_849,1806243350,ABCDE2140F,1,22099,Yes,0,484371,Unemployed,50,None,22299,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_544,2309315674,ABCDE1121F,4,69778,No,0,453654,Unemployed,39,Own,470205,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_733,5051389893,ABCDE5515F,3,69606,Yes,0,279961,Unemployed,62,None,35943,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_870,9179107518,ABCDE7156F,5,72331,No,2,669131,Unemployed,63,None,160776,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_565,4547659531,ABCDE8549F,4,66655,Yes,2,389185,Employed,39,None,439521,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed
Person_391,1625369244,ABCDE5480F,2,87454,No,2,955853,Unemployed,64,None,11723,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married
Person_997,8581977951,ABCDE9292F,0,6544,Yes,2,977729,Employed,41,Own,382278,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_312,1712514861,ABCDE5640F,4,57165,Yes,2,564055,Self-Employed,63,None,159681,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced
Person_455,3462846799,ABCDE7569F,3,31767,No,0,337025,Unemployed,25,Rent,185017,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_666,1689750204,ABCDE1148F,3,24882,Yes,2,145128,Unemployed,51,Rent,326859,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_412,8632929159,ABCDE3644F,3,36999,No,1,906450,Unemployed,27,Own,139402,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married
Person_856,9463501999,ABCDE8451F,3,87044,Yes,1,966893,Employed,55,None,29542,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_545,9677557442,ABCDE1845F,2,82328,Yes,1,138176,Unemployed,47,None,223847,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_543,5141763025,ABCDE3371F,1,52313,Yes,1,85281,Employed,35,None,462440,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed
Person_785,1476691922,ABCDE9999F,1,28327,Yes,0,326732,Employed,41,Rent,156682,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced
Person_136,7699133087,ABCDE2083F,2,38967,Yes,0,519814,Self-Employed,48,Rent,144362,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married
Person_264,5193076068,ABCDE5130F,1,29520,No,0,656913,Self-Employed,62,None,84147,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
Person_356,1424972234,ABCDE5983F,5,57934,No,1,789950,Self-Employed,75,Own,173400,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced
Person_563,4287522857,ABCDE4771F,5,54099,No,1,479415,Employed,68,None,76668,Ministry Of Agriculture and Farmers Welfare,RKVY,Married
