Name,Adhaar No.,PAN Number,Number of Dependents,Medical Expenses,Loan Status,No. of Schemes Availed,Annual Income,Employment Status,Age,Real Estate Status,Bank Balance,Ministry,Scheme,Marital Status,ELIGIBILITY CRITERIA
Person_108,414581000000.0,ABCDE6319F,3,14054,No,0,248709,Employed,48,Own,109904,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_937,155099000000.0,ABCDE5338F,1,98858,Yes,2,82345,Employed,56,Own,109804,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_224,190390000000.0,ABCDE7478F,1,55130,No,0,112700,Unemployed,21,Own,69620,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_29,316105000000.0,ABCDE5222F,4,49945,No,2,187481,Self-Employed,25,Rent,221957,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,YES
Person_771,896612000000.0,ABCDE7134F,1,83570,Yes,0,222228,Unemployed,21,,344885,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_898,766218000000.0,ABCDE5050F,0,65599,Yes,0,121398,Unemployed,74,,88728,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,YES
Person_564,254367000000.0,ABCDE7894F,3,23844,Yes,2,61034,Self-Employed,59,Own,118728,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
Person_836,568495000000.0,ABCDE4089F,1,64301,Yes,1,284190,Unemployed,57,Own,209280,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_522,357756000000.0,ABCDE7267F,3,63545,Yes,2,255353,Employed,59,Own,251982,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,NO
Person_29,528899000000.0,ABCDE5943F,2,24162,No,0,196990,Employed,74,,289496,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_285,415498000000.0,ABCDE7470F,0,61009,No,0,248845,Employed,57,,115322,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_105,709508000000.0,ABCDE3095F,0,31150,Yes,0,196138,Unemployed,50,,380338,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_623,398198000000.0,ABCDE7979F,3,35739,Yes,2,62915,Employed,73,,140115,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_582,956829000000.0,ABCDE2307F,1,92998,No,2,227054,Unemployed,28,Own,115440,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_818,386297000000.0,ABCDE5517F,1,17355,Yes,2,66726,Employed,60,,146711,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,YES
Person_918,657376000000.0,ABCDE4584F,3,75003,No,2,234818,Employed,36,,174286,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_524,292010000000.0,ABCDE1946F,3,27117,No,2,35316,Self-Employed,75,,62638,Ministry Of Agriculture and Farmers Welfare,RKVY,Widowed,YES
Person_640,675196000000.0,ABCDE4681F,2,9367,Yes,0,57983,Employed,49,Own,132347,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_568,539303000000.0,ABCDE7490F,5,43322,Yes,0,222289,Employed,34,Rent,225160,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,NO
Person_782,204002000000.0,ABCDE6807F,5,29309,Yes,2,54262,Employed,52,Rent,20553,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,YES
Person_282,339173000000.0,ABCDE7533F,3,23788,Yes,1,162151,Employed,39,,181151,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Divorced,YES
Person_580,390990000000.0,ABCDE4414F,3,47906,Yes,0,236588,Employed,72,Rent,144633,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_557,220188000000.0,ABCDE9957F,3,80815,No,0,251156,Self-Employed,52,Rent,364082,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_585,764673000000.0,ABCDE8144F,1,14798,No,2,273048,Employed,75,Rent,130702,Ministry Of Agriculture and Farmers Welfare,RKVY,Married,NO
Person_692,683008000000.0,ABCDE9934F,2,66195,No,2,153944,Employed,69,Own,340899,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_496,863678000000.0,ABCDE6285F,0,31193,Yes,2,237964,Employed,59,Own,291397,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Widowed,NO
Person_871,685121000000.0,ABCDE8703F,5,16042,No,2,95696,Employed,50,Rent,59850,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Divorced,YES
Person_290,394321000000.0,ABCDE5659F,2,67332,Yes,2,32618,Employed,39,Own,65070,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Married,NO
Person_331,152171000000.0,ABCDE5832F,0,44810,Yes,2,241704,Self-Employed,40,Own,298479,Ministry Of Chemicals And Fertilizers,Nutrient-Based Subsidy,Married,NO
Person_254,844186000000.0,ABCDE2428F,3,60762,Yes,0,207564,Employed,41,Rent,180676,Ministry Of Chemicals And Fertilizers,Fertilizer Subsidy,Married,NO
Person_289,898368000000.0,ABCDE7897F,1,24711,Yes,2,198048,Employed,50,Rent,218724,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Divorced,YES
Person_594,861590000000.0,ABCDE5681F,3,13018,No,2,148205,Employed,46,Rent,127165,Ministry Of Agriculture and Farmers Welfare,PM-Kisan,Widowed,YES
